kod,nazwa,dlugosc_geograficzna,szerokosc_geograficzna,nazwa_rzeki,rok_1951,rok_1952,rok_1953,rok_1954,rok_1955,rok_1956,rok_1957,rok_1958,rok_1959,rok_1960,rok_1961,rok_1962,rok_1963,rok_1964,rok_1965,rok_1966,rok_1967,rok_1968,rok_1969,rok_1970,rok_1971,rok_1972,rok_1973,rok_1974,rok_1975,rok_1976,rok_1977,rok_1978,rok_1979,rok_1980,rok_1981,rok_1982,rok_1983,rok_1984,rok_1985,rok_1986,rok_1987,rok_1988,rok_1989,rok_1990,rok_1991,rok_1992,rok_1993,rok_1994,rok_1995,rok_1996,rok_1997,rok_1998,rok_1999,rok_2000,rok_2001,rok_2002,rok_2003,rok_2004,rok_2005,rok_2006,rok_2007,rok_2008,rok_2009,rok_2010,rok_2011,rok_2012,rok_2013,rok_2014,rok_2015,rok_2016,rok_2017,rok_2018,rok_2019,rok_2020,rok_2021,rok_2022,rok_2023,rok_2024,rok_2025,rok_2026,rok_2027,rok_2028,rok_2029,rok_2030
6802,DYNÓW,22 14,49 50,SAN,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,N,K,N,N,N,K,K,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-
1001,DZIWNÓW,14 44,54 01,DZIWNA,-,-,-,-,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160,ELBLĄG-MILEJEWO,19 32 37,54 13 23,BAUDA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4806,FELIN,22 38,51 14,BYSTRZYCA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1505,FROMBORK,19 41,54 22,ZALEW WIŚLANY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,GDAŃSK-RĘBIECHOWO,18 28,54 23,MARTWA WISŁA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1407,GDAŃSK-RĘBIECHOWO,18 28,54 23,WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
1404,GDAŃSK-ŚWIBNO,18 56,54 20,WISŁA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1402,GDYNIA,18 34,54 31,PRZYMORZE,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1702,GIŻYCKO,21 48,54 02,WĘGORAPA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3404,GŁĘBOKIE,18 27,52 39,NOTEĆ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3501,GŁODOWO,19 14,52 50,WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5309,GŁUBCZYCE,17 48,50 11,ODRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5308,GŁUCHOŁAZY,17 23,50 18,NYSA KŁODZKA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3303,GNIEZNO,17 34,52 33,WEŁNA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,GOLENIÓW,14 53 35,53 35 35,ZALEW SZCZECIŃSKI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
1801,GOŁDAP,22 19,54 19,WĘGORAPA,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300,GORZÓW WIELKOPOLSKI,15 16 38,52 44 28,WARTA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3101,GORZYŃ,15 54,52 34,WARTA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
4101,GRABIK,15 07,51 39,BÓBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4707,GRABOWIEC,21 23,51 06,WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4303,GRABOWNICA,17 27,51 28,PRADNIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6804,GRABOWNICA,22 05,49 40,STOBNICA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5303,GRODKÓW,17 24,50 41,NYSA KŁODZKA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2403,GRUDZIĄDZ,18 43,53 26,WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6521,GUBAŁÓWKA,19 56,49 18,DUNAJEC,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6632,HALA GĄSIENICOWA,20 00 21,49 14 39,BIAŁY DUNAJEC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-
6526,HALA ORNAK,19 52,49 14,CZARNY DUNAJEC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,N,K,N,N,N,K,K,K,K,N,N,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,HEL,18 48 43,54 36 13,BAŁTYK,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1405,HOPOWO,18 15,54 15,MARTWA WISŁA,-,-,-,-,-,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5608,IGOŁOMIA,20 16,50 06,WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6503,INWAŁD,19 26,49 53,SKAWA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,N,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6408,ISTEBNA-KUBALONKA,18 54,49 36,WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6706,IWONICZ-ZDRÓJ,21 47,49 34,WISŁOK,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,N,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6518,JABŁONKA,19 42,49 28,CZARNA ORAWA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
5150,JAKUSZYCE,15 27,50 49,BÓBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4702,JARCZEW,21 59,51 49,WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
5802,JAROCIN,22 18,50 34,SAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
6650,JASTRZĘBIA,20 54,49 47,DUNAJEC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
6401,JASTRZĘBIE-ZDRÓJ,18 34,49 57,OLZA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4350,JELCZ-LASKOWICE,17 21,51 03,WIDAWA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
500,JELENIA GÓRA,15 47 20,50 54 01,BÓBR,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5664,JĘDRZEJÓW-SUDÓŁ,20 16 32,50 39 11,NIDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6602,JODŁOWNIK,20 15,49 47,STRADOMKA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
435,KALISZ,18 04 55,51 46 55,PROSNA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5105,KARPACZ,15 47,50 47,BÓBR,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1302,KARŻNICZKA,17 14,54 29,SŁUPIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,N,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2406,KASPARUS,18 21 10,53 44 77,WDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,N,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
650,KASPROWY WIERCH,19 58 55,49 13 57,DUNAJEC,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5550,KATOWICE PYRZOWICE,19 04 34,50 28 22,PRZEMSZA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
560,KATOWICE-MUCHOWIEC,19 01 58,50 14 26,RAWA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3607,KAWĘCZYN,20 21,52 10,BZURA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
570,KIELCE-SUKÓW,20 41 32,50 48 37,CZARNA NIDA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
520,KŁODZKO,16 36 51,50 26 13,NYSA KŁODZKA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1503,KMIECIN,19 10,54 11,SZKARPAWA,-,-,-,-,-,-,-,-,-,-,-,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5453,KOCHCICE,18 41,50 43,MAŁA PANEW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5709,KOLBUSZOWA,21 48,50 14,PRZYRWA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
345,KOŁO,18 39 41,52 12 01,WARTA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,KOŁOBRZEG-DŹWIRZYNO,15 23 20,54 09 30,PARSĘTA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3403,KOŁUDA WIELKA,18 09,52 44,NOTEĆ,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,N,-,-,-,-
6809,KOMAŃCZA,22 04,49 20,SAN,-,-,-,-,-,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
2404,KOŃCZEWICE,18 33,53 11,WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5304,KORFANTÓW,17 36,50 29,NYSA KŁODZKA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,KOSZALIN,16 09 20,54 12 16,BAŁTYK,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1305,KOŚCIERZYNA,17 58,54 08,WIERZYCA,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3305,KÓRNIK,17 06,52 15,WARTA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-
566,KRAKÓW-BALICE,19 48 07,50 04 49,WISŁA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5511,KRAKÓW-OBSERWATORIUM,19 58,50 04,WISŁA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
4903,KRASNYSTAW,23 09,51 00,WIEPRZ,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6704,KROSNO,21 45,49 41,WISŁOK,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
