kod,nazwa,dlugosc_geograficzna,szerokosc_geograficzna,nazwa_rzeki,rok_1951,rok_1952,rok_1953,rok_1954,rok_1955,rok_1956,rok_1957,rok_1958,rok_1959,rok_1960,rok_1961,rok_1962,rok_1963,rok_1964,rok_1965,rok_1966,rok_1967,rok_1968,rok_1969,rok_1970,rok_1971,rok_1972,rok_1973,rok_1974,rok_1975,rok_1976,rok_1977,rok_1978,rok_1979,rok_1980,rok_1981,rok_1982,rok_1983,rok_1984,rok_1985,rok_1986,rok_1987,rok_1988,rok_1989,rok_1990,rok_1991,rok_1992,rok_1993,rok_1994,rok_1995,rok_1996,rok_1997,rok_1998,rok_1999,rok_2000,rok_2001,rok_2002,rok_2003,rok_2004,rok_2005,rok_2006,rok_2007,rok_2008,rok_2009,rok_2010,rok_2011,rok_2012,rok_2013,rok_2014,rok_2015,rok_2016,rok_2017,rok_2018,rok_2019,rok_2020,rok_2021,rok_2022,rok_2023,rok_2024,rok_2025,rok_2026,rok_2027,rok_2028,rok_2029,rok_2030
5508,BIERUŃ STARY,19 06,50 05,WISŁA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6803,BIRCZA,22 29,49 41,SAN,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2601,BISKUPIEC,20 59,53 51,JEZ.DADAJ,-,-,-,-,-,-,-,-,-,-,K,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3301,BOBROWNIKI,17 08,52 49,WEŁNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6601,BOCHNIA,20 24,49 59,RABA,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,K,K,N,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5601,BODZENTYN,20 57,50 57,KAMIENNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5001,BOGATYNIA,14 59,50 54,NYSA ŁUŻYCKA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,N,-,-,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5702,BOGUSŁAWICE,21 25,50 51,KAMIENNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5252,BOLESŁAWÓW,16 53,50 15,NYSA KŁODZKA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1351,BORUCINO,17 59 28,54 15 12,MARTWA WISŁA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-
